statecode,countycode,v051_rawvalue,v051_flag_CT
12,105,852878,
12,107,77301,
12,109,334928,
12,111,390670,
12,113,207653,
12,115,476604,
12,117,494605,
12,119,154693,
12,121,47536,
12,123,21843,
12,125,15738,
12,127,602772,
12,129,37115,
12,131,89666,
12,133,26503,
13,000,11180878,
13,001,18669,
13,003,8435,
13,005,11045,
13,007,2732,
13,009,43644,
13,011,20318,
13,013,96294,
13,015,117508,
13,017,16945,
13,019,18666,
13,021,157056,
13,023,12626,
13,025,18795,
13,027,16344,
13,029,51105,
13,031,85454,
13,033,24472,
13,035,27127,
13,037,5441,
13,039,59099,
13,043,11130,
13,045,129911,
13,047,68940,
13,049,13021,
13,051,307336,
13,053,8548,
13,055,25306,
13,057,293513,
13,059,129995,
13,061,2815,
13,063,297703,
13,065,6871,
13,067,787538,
13,069,43851,
13,071,46977,
13,073,167472,
13,075,17984,
13,077,158233,
13,079,12349,
13,081,19468,
13,083,16068,
13,085,33748,
13,087,29391,
13,089,770307,
13,091,19630,
13,093,11186,
13,095,82418,
13,097,151887,
13,099,10444,
13,101,3698,
13,103,73148,
13,105,20152,
13,107,23224,
13,109,10869,
13,111,25854,
13,113,125107,
13,115,101390,
13,117,280096,
13,119,25208,
13,121,1090354,
13,123,33327,
13,125,3008,
13,127,86540,
13,129,60765,
13,131,26271,
13,133,21091,
13,135,1003869,
13,137,49665,
13,139,221745,
13,141,8683,
13,143,32404,
13,145,36929,
13,147,28052,
13,149,12119,
13,151,259315,
13,153,174897,
13,155,9155,
13,157,93825,
13,159,17219,
13,161,15119,
13,163,15019,
13,165,8836,
13,167,9178,
13,169,29047,
13,171,20690,
13,173,10464,
13,175,50287,
13,177,34073,
13,179,68607,
13,181,8049,
13,183,20439,
13,185,122082,
13,187,36016,
13,189,21764,
13,191,11800,
13,193,11831,
13,195,32771,
13,197,7635,
13,199,21439,
13,201,5824,
13,205,20329,
13,207,31437,
13,209,8566,
13,211,21940,
13,213,41316,
13,215,201830,
13,217,124010,
13,219,44751,
13,221,16172,
13,223,188549,
13,225,29213,
13,227,36580,
13,229,20669,
13,231,20669,
13,233,44610,
13,235,10180,
13,237,23383,
13,239,2323,
13,241,17711,
13,243,6085,
13,245,206303,
13,247,97610,
13,249,4503,
13,251,14325,
13,253,9274,
13,255,70292,
13,257,27498,
13,259,4809,
13,261,28972,
13,263,5755,
13,265,1620,
13,267,24275,
13,269,7783,
13,271,11000,
13,273,8698,
13,275,46054,
13,277,41708,
13,279,27488,
13,281,13184,
13,283,6420,
13,285,71513,
13,287,9023,
13,289,7728,
13,291,27601,
13,293,28358,
13,295,69340,
13,297,109792,
13,299,36222,
13,301,5148,
13,303,19834,
13,305,32132,
13,307,2315,
13,309,7076,
13,311,29668,
13,313,105070,
13,315,8904,
13,317,9567,
13,319,8667,
13,321,20262,
15,000,1446146,
15,001,209790,
15,003,998747,
15,005,81,
15,007,73840,
15,009,163688,
16,000,2001619,
16,001,535799,
16,003,4998,
16,005,91010,
16,007,6779,
16,009,10529,
16,011,50889,
16,013,25261,
16,015,8581,
16,017,53955,
16,019,133644,
16,021,14040,
16,023,2735,
16,025,1247,
16,027,266892,
16,029,7239,
16,031,25976,
16,033,794,
16,035,9151,
16,037,4597,
16,039,29729,
16,041,15638,
16,043,14399,
16,045,21857,
16,047,16189,
16,049,17912,
16,051,34854,
16,053,26056,
16,055,188323,
16,057,42180,
16,059,8397,
16,061,3728,
16,063,5556,
16,065,55549,
16,067,22691,
16,069,42847,
16,071,4976,
