statecode,countycode,v059_flag_CT,v059_numerator,v059_denominator,v059_rawvalue,v059_cilow,v059_cihigh
00,000,,13657150,316142548,0.043199341836139056,0.04291132167261982,0.04348736199965829
01,000,,54244,4793030,0.011317266948047477,0.010702758878234117,0.011931775017860836
01,001,,160,56328,0.0028405056099985795,0,0.006045667323219776
01,003,,2080,234403,0.008873606566468859,0.0059627680028923845,0.011784445130045333
01,005,,346,23314,0.01484086814789397,0.006223692841115031,0.02345804345467291
01,007,,91,21038,0.004325506226827645,0,0.011260592091643002
01,009,,1057,56148,0.018825247560019947,0.013221029252281687,0.024429465867758206
01,011,,60,9515,0.006305832895428271,0,0.01975707526669075
01,013,,33,17590,0.0018760659465605458,0,0.00777577674214535
01,015,,550,109532,0.005021363619764087,0.0026354715386901458,0.007407255700838029
01,017,,65,32278,0.002013755499101555,0,0.005938373588997231
01,019,,233,24263,0.009603099369410213,0.0013873951473344567,0.01781880359148597
01,021,,962,43156,0.022291222541477432,0.013376506594737377,0.031205938488217486
01,023,,13,11719,0.0011093096680604147,0,0.009305704169902163
01,025,,67,21211,0.0031587383904577815,0,0.010245244240904018
01,027,,31,13425,0.002309124767225326,0,0.009606205308189173
01,029,,28,14536,0.001926252063841497,0,0.00819935288482617
01,031,,800,51586,0.015508083588570542,0.009616919498786503,0.02139924767835458
01,033,,370,54912,0.006738053613053613,0.001724619690666335,0.011751487535440891
01,035,,12,10676,0.0011240164855751218,0,0.010121164645848052
01,037,,0,9810,0,0,0.010202355390721582
01,039,,55,35452,0.0015513934333747038,0,0.005332911003354052
01,041,,31,12379,0.002504241053396882,0,0.009956069247439107
01,043,,694,85298,0.008136181387605806,0.004434237516335638,0.011838125258875974
01,045,,374,46234,0.00808928494181771,0.003599637831511561,0.012578932052123858
01,047,,62,34689,0.0017873100983020554,0,0.006053350693412408
01,049,,3235,68057,0.04753368499933879,0.03772982839741428,0.0573375416012633
01,051,,434,84756,0.005120581433762802,0.0021730505163341574,0.008068112351191446
01,053,,314,34518,0.009096703169360914,9.726709961049608e-4,0.017220735342616866
01,055,,805,97198,0.008282063416942735,0.0048463506883003335,0.011717776145585137
01,057,,11,15301,7.189072609633358e-4,0,0.007205531453545684
01,059,,1465,29782,0.04919078638103552,0.03482853436703287,0.06355303839503817
01,061,,99,25492,0.0038835713164914482,0,0.009693601896773388
01,063,,1,7180,1.392757660167131e-4,0,0.012355170887973112
01,065,,5,13810,3.620564808110065e-4,0,0.007422048373906954
01,067,,49,16776,0.002920839294229852,0,0.00890369444229911
01,069,,674,101434,0.006644714789912652,0.004522115357451886,0.008767314222373418
01,071,,289,50222,0.00575445024093027,0.0022997330929251155,0.009209167388935425
01,073,,8239,627002,0.013140308962331858,0.010995631165119004,0.015284986759544712
01,075,,5,12888,3.879577901924271e-4,0,0.007943408152355126
01,077,,808,91050,0.008874244920373421,0.005195119550126432,0.012553370290620411
01,079,,224,31425,0.007128082736674622,3.432932051521875e-4,0.013912872268197058
01,081,,3342,171399,0.019498363467698177,0.015253394247084783,0.02374333268831157
01,083,,1452,105085,0.013817385925679212,0.009331213415113612,0.018303558436244812
01,085,,26,9243,0.0028129395218002813,0,0.012730390072748086
