statecode,countycode,v153_numerator,v153_denominator,v153_rawvalue,v153_cilow,v153_cihigh
00,000,84210142,129227496,0.6516426039857648,0.6484925038777755,0.6547927040937541
01,000,1402155,1997247,0.7020438633779398,0.6974864173978274,0.7066013093580522
01,001,17660,22917,0.7706069729894838,0.7412896841416728,0.7999242618372947
01,003,76497,98574,0.7760362773145049,0.7621133562964488,0.7899591983325609
01,005,6229,9128,0.6824057843996494,0.6491974524788225,0.7156141163204762
01,007,6100,7704,0.7917964693665628,0.7522483522100969,0.8313445865230287
01,009,17962,22180,0.8098286744815149,0.786474214878693,0.8331831340843368
01,011,2458,3688,0.6664859002169198,0.6142364106467573,0.7187353897870823
01,013,5002,7597,0.6584177964986179,0.6298639767004549,0.6869716162967808
01,015,31654,45015,0.7031878262801289,0.6839773384341079,0.7223983141261499
01,017,9643,13434,0.7178055679618878,0.6889724124814419,0.7466387234423336
01,019,8264,10192,0.8108320251177394,0.780992844019913,0.8406712062155659
01,021,13738,17875,0.7685594405594406,0.7395046385052014,0.7976142426136797
01,023,4329,5255,0.8237868696479543,0.8141739823494043,0.8333997569465044
01,025,5962,8423,0.7078238157426096,0.678293925461593,0.7373537060236262
01,027,4623,5820,0.7943298969072164,0.7597813703754367,0.8288784234389962
01,029,4697,5980,0.7854515050167225,0.7434724657093998,0.8274305443240451
01,031,15163,20984,0.7225981700343118,0.696665382801718,0.7485309572669057
01,033,17323,24301,0.7128513229908234,0.6867866493554029,0.738915996626244
01,035,3283,4417,0.7432646592709984,0.698869418103484,0.78765990043851275
01,037,3604,4418,0.8157537347215935,0.7692743090334933,0.8622331604096938
01,039,11168,14642,0.762737330965715,0.7467441086302937,0.7787305533011364
01,041,3831,5233,0.7320848461685457,0.697797425799774,0.7663722665373175
01,043,27088,35347,0.7663450929357513,0.746574550006132,0.7861156358653705
01,045,12210,19727,0.6189486490596644,0.5992026882681314,0.6386946098511974
01,047,10178,15947,0.6382391672414874,0.6118369845277232,0.6646413499552517
01,049,20490,26181,0.7826286238111607,0.762102737666381,0.8031545099559404
01,051,25290,32856,0.7697224251278305,0.7509203457120325,0.7885245045436285
01,053,9087,12808,0.7094784509681449,0.6772981403785349,0.7416587615577549
01,055,29128,39411,0.7390829971327801,0.7257859048627372,0.7523800894028231
01,057,4905,6255,0.7841726618705036,0.74973727506255206,0.8186080486784552
01,059,8651,11954,0.7236908147900284,0.69003192962694615,0.7573496999531106
01,061,8316,10647,0.7810650887573964,0.7536085068510241,0.8085216706637688
01,063,1987,3225,0.6161240310077519,0.549377431345091,0.6828706306704129
01,065,4197,5642,0.7438851471109535,0.7137090978690136,0.7740611963528935
01,067,5614,7062,0.794958935145851,0.7614132570631242,0.8285046132285778
01,069,27624,43302,0.6379382014687544,0.6273397675753783,0.6485366353621304
01,071,16374,21795,0.7512732278045423,0.7299871771399555,0.7725592784691291
01,073,172419,269883,0.638865730705528,0.6298890931706959,0.6478423682403601
01,075,3849,5086,0.7567833267793944,0.7119031214222167,0.8016635321365722
01,077,27047,39258,0.6889551174282948,0.6691659866126191,0.7087442482439706
