statecode,countycode,v161_race_white,v161_race_white_cilow,v161_race_white_cihigh,v161_race_black,v161_race_black_cilow,v161_race_black_cihigh,v161_race_aian,v161_race_aian_cilow,v161_race_aian_cihigh,v161_race_asian,v161_race_asian_cilow,v161_race_asian_cihigh,v161_race_nhopi,v161_race_nhopi_cilow,v161_race_nhopi_cihigh,v161_race_tom,v161_race_tom_cilow,v161_race_tom_cihigh,v161_race_hispanic,v161_race_hispanic_cilow,v161_race_hispanic_cihigh,v161_race_flag_CT
00,000,17.307126133640285,17.22381147077025,17.39044079651032,8.634210614804678,8.508110699495248,8.760310530114108,25.054483230606415,24.15229639631791,25.95667006489492,6.595052755160204,6.439560268475035,6.750545241845372,14.027751500635183,12.746280437890103,15.309222563380263,9.776068078016733,9.412569757626144,10.139566398407322,7.929602160402027,7.829663502274035,8.02954081853002,
01,000,20.14900998257739,19.446094955685066,20.851925009469714,8.239835998144661,7.538285966456342,8.94138602983298,8.13102381528738,4.05897779268772,14.548647625914692,6.964822964035276,4.628074279031688,10.066108374627426,,,,7.356552155218363,4.429124960093932,11.488167462590342,7.953287896190106,6.309396604719161,9.59717918766105,
01,001,18.47243629811122,13.07219534814389,25.35486206052337,,,,,,,,,,,,,,,,,,,
01,003,20.756873079760265,17.80797925864178,23.70576690087875,11.49770377308832,5.941031318572746,20.084174624861323,,,,,,,,,,,,,,,,
01,005,13.815284281269337,6.317227695974399,26.225712952329708,,,,,,,,,,,,,,,,,,,
01,007,23.18911203655888,13.50851230681972,37.128014735152064,,,,,,,,,,,,,,,,,,,
01,009,26.31692353155617,20.177034367931046,33.73710825742248,,,,,,,,,,,,,,,,,,,
01,011,,,,,,,,,,,,,,,,,,,,,,
01,013,30.3677970764153,16.169572970722374,51.929857859309216,,,,,,,,,,,,,,,,,,,
01,015,24.698001461124644,19.774233914032788,29.6217690082165,13.325899022083718,7.458404523791491,21.979043897711353,,,,,,,,,,,,,,,,
01,017,33.471338745882456,22.057823142348763,48.69904056199341,,,,,,,,,,,,,,,,,,,
01,019,23.524630080342543,15.367069400309886,34.46903361874373,,,,,,,,,,,,,,,,,,,
