statecode,countycode,v055_rawvalue,v055_numerator,v055_denominator,v055_flag_CT
00,000,0.013946323898244652,4743298,340110988,
01,000,0.007860869740556787,40544,5157699,
01,001,0.0049947937003774565,307,61464,
01,003,0.008971438182318584,2347,261608,
01,005,0.008498234666228755,207,24358,
01,007,0.005705813640039537,127,22258,
01,009,0.006665226135664777,401,60163,
01,011,0.00807999192000808,80,9901,
01,013,0.0056967572304995615,104,18256,
01,015,0.005350992467382996,623,116427,
01,017,0.004347440333599503,147,33813,
01,019,0.008263830438442116,216,26138,
01,021,0.007215098810884008,341,47262,
01,023,0.0025721871888483238,31,12052,
01,025,0.006864781862523711,152,22142,
01,027,0.006390898237235761,91,14239,
01,029,0.0045897516504243945,73,15905,
01,031,0.014922459987934277,841,56358,
01,033,0.007467891468912137,439,58785,
01,035,0.0070213340534701595,78,11109,
01,037,0.008648333495287144,89,10291,
01,039,0.007947440924022465,300,37748,
01,041,0.00793045600122007,104,13114,
01,043,0.006673577815213166,618,92604,
01,045,0.009407394091916831,471,50067,
01,047,0.003150935433956956,112,35545,
01,049,0.02211372774267662,1617,73122,
01,051,0.005250324026273588,478,91042,
01,053,0.036117936117936116,1323,36630,
01,055,0.00825525400408887,852,103207,
01,057,0.004980142469898506,79,15863,
01,059,0.018353516973081508,585,31874,
01,061,0.013316702740379324,363,27259,
01,063,0.0050512136944015715,36,7127,
01,065,0.0031754432389521038,48,15116,
01,067,0.005512375282509233,100,18141,
01,069,0.00661082969112887,723,109366,
01,071,0.01595388620304946,858,53780,
01,073,0.003920306162974017,2606,664744,
01,075,0.004873366314701322,66,13543,
01,077,0.005446042132469077,531,97502,
01,079,0.05666279381535436,1902,33567,
01,081,0.00402455189595788,756,187847,
01,083,0.008499941147786317,1011,118942,
01,085,0.0036900369003690036,35,9485,
01,087,0.003414284927584118,62,18159,
01,089,0.008498777621617791,3598,423355,
01,091,0.0029170267934312878,54,18512,
01,093,0.005251850083552161,154,29323,
01,095,0.015260973413211167,1559,102156,
01,097,0.009543118647520608,3935,412339,
01,099,0.01511255706564517,288,19057,
01,101,0.004010730696698451,906,225894,
01,103,0.01408584753021795,1776,126084,
01,105,0.0036274128773157144,28,7719,
01,107,0.0035119948130538144,65,18508,
01,109,0.0073964497041420114,245,33124,
01,111,0.0077166514934755275,178,23067,
01,113,0.006968404235430086,410,58837,
01,115,0.003992695533752205,387,96927,
01,117,0.005420203501307375,1279,235969,
01,119,0.0018954079434823814,22,11607,
01,121,0.004190476190476191,341,81375,
01,123,0.0040050124081672765,163,40699,
01,125,0.003979901497437938,960,241212,
01,127,0.006343855347839412,414,65260,
01,129,0.07830603276068718,1176,15018,
01,131,0.002838317283324886,28,9865,
01,133,0.010390045665926516,248,23869,
02,000,0.1547384051244844,114527,740133,
02,013,0.12830396475770925,466,3632,
02,016,0.07724926253687316,419,5424,
02,020,0.09750690607734806,28238,289600,
02,050,0.8457531392224599,15424,18237,
02,060,0.28054298642533937,248,884,
02,063,0.11568746214415505,764,6604,
02,066,0.19574306347396428,515,2631,
02,068,0.0715607649599013,116,1621,
02,070,0.7190866006031883,3338,4642,
02,090,0.08297964213120451,7879,94951,
02,100,0.09268060836501901,195,2104,
02,105,0.3633217993079585,840,2312,
02,110,0.12118332699860636,3826,31572,
02,122,0.08227362509998531,5040,61259,
02,130,0.13950427725378373,1908,13677,
02,150,0.12059427848901533,1526,12654,
02,158,0.9300276868864837,7390,7946,
02,164,0.5817490494296578,765,1315,
02,170,0.06960114953278974,8186,117613,
02,180,0.7513216754778366,7390,9836,
02,185,0.5135515333395855,5476,10663,
02,188,0.8071208298289879,5758,7134,
02,195,0.10389988358556461,357,3436,
02,198,0.4121127741037243,2368,5746,
02,220,0.15008976660682227,1254,8355,
02,230,0.058981233243967826,66,1119,
02,240,0.1087105155203063,795,7313,
02,275,0.16521317829457363,341,2064,
02,282,0.34057971014492755,235,690,
02,290,0.6675818787997646,3404,5099,
04,000,0.05137157390076789,389519,7582384,
04,001,0.7255092592592592,47013,64800,
04,003,0.01873216032057755,2356,125773,
04,005,0.2707820971197498,39307,145161,
04,007,0.18240156825032827,9863,54073,
04,009,0.12879578549773868,5183,40242,
04,011,0.05377258235919235,506,9410,
04,012,0.1672551789077213,2842,16992,
04,013,0.02955192874274357,138099,4673096,
04,015,0.030285368621373283,6859,226479,
04,017,0.4343657547755579,47570,109516,
04,019,0.04377173889898523,47280,1080149,
04,021,0.05920266530702796,30422,513862,
04,023,0.015720281935534965,794,50508,
04,025,0.022752794498696497,5734,252013,
04,027,0.025831782488311923,5691,220310,
05,000,0.011790746786152106,36414,3088354,
05,001,0.005233644859813084,84,16050,
05,003,0.00967526690391459,174,17984,
05,005,0.009533331783198084,410,43007,
05,007,0.020033212466492104,6442,321566,
05,009,0.010378921213376125,401,38636,
05,011,0.017815802717664822,177,9935,
05,013,0.00788912579957356,37,4690,
05,015,0.014809444904722453,429,28968,
05,017,0.006686798964624676,62,9272,
05,019,0.007934990439770554,166,20920,
05,021,0.00729875283446712,103,14112,
05,023,0.009046245028464479,232,25646,
05,025,0.006379801818922221,47,7367,
05,027,0.006538321830730113,144,22024,
05,029,0.010503220987769582,225,21422,
05,031,0.005817767496461002,674,115852,
05,033,0.02905650679430756,1809,62258,
05,035,0.004953573649561469,231,46633,
05,037,0.0049401012720760775,80,16194,
05,039,0.009381171823568136,57,6076,
05,041,0.004844491812808836,50,10321,
05,043,0.006731620903454384,114,16935,
05,045,0.007468980556336476,983,131611,
05,047,0.018594336403957693,327,17586,
05,049,0.010600988362824805,133,12546,
05,051,0.008298132169526136,829,99902,
05,053,0.005553758222797369,103,18546,
05,055,0.006541936583702694,307,46928,
05,057,0.009945040565297042,190,19105,
05,059,0.006934229880226938,231,33313,
05,061,0.01622668927100993,201,12387,
05,063,0.011292215412700483,433,38345,
05,065,0.008047022601637394,115,14291,
05,067,0.009596353385713428,160,16673,
05,069,0.006439251162206307,410,63672,
05,071,0.013755158184319119,360,26172,
05,073,0.008977556109725686,54,6015,
05,075,0.007421036491873659,121,16305,
05,077,0.007527147087857848,61,8104,
05,079,0.006605533105377681,85,12868,
05,081,0.0194391880268364,226,11626,
05,083,0.012117257771356667,260,21457,
05,085,0.009490895285970493,725,76389,
05,087,0.018303946263643997,327,17865,
05,089,0.011481839367930426,202,17593,
05,091,0.009890843224176557,415,41958,
05,093,0.005853786586166164,223,38095,
05,095,0.009041309431021044,58,6415,
05,097,0.01809635722679201,154,8510,
05,099,0.004497751124437781,36,8004,
05,101,0.015229148875604896,107,7026,
05,103,0.0048422800221361376,105,21684,
05,105,0.011511072090527753,118,10251,
05,107,0.005934110906486597,87,14661,
05,109,0.014560686147402014,146,10027,
05,111,0.0053811659192825115,120,22300,
05,113,0.023618400740969436,459,19434,
05,115,0.01221675484736769,792,64829,
05,117,0.004662885948330183,37,7935,
05,119,0.005555707872953996,2229,401209,
05,121,0.007668067226890756,146,19040,
05,123,0.00783612867748144,171,21822,
05,125,0.007565599000396184,993,131252,
05,127,0.02785402053471587,274,9837,
05,129,0.01518631955079122,119,7836,
05,131,0.02769254431499212,3601,130035,
05,133,0.040927867810613285,644,15735,
05,135,0.011472697186982902,208,18130,
05,137,0.01181071568244036,151,12785,
05,139,0.005485300475572849,203,37008,
05,141,0.01046310054482417,169,16152,
05,143,0.0177734198900009,4731,266184,
05,145,0.007674703822179514,607,79091,
05,147,0.005681818181818182,33,5808,
05,149,0.014254494884275356,287,20134,
06,000,0.01816216234311338,716157,39431263,
06,001,0.014254181169878597,23506,1649060,
06,003,0.2183803457688808,240,1099,
06,005,0.02203397896540237,926,42026,
06,007,0.027436712202520953,5716,208334,
06,009,0.020814966132673907,968,46505,
06,011,0.02994473135815892,661,22074,
06,013,0.012246217189561379,14360,1172607,
06,015,0.10059609759709727,2717,27009,
06,017,0.013499426935583411,2603,192823,
06,019,0.03226852190894666,33047,1024125,
06,021,0.036425946862634256,1031,28304,
06,023,0.06518356247167245,8629,132380,
06,025,0.028686359534238735,5213,181724,
06,027,0.14038409521233433,2595,18485,
06,029,0.028399107236737272,26199,922529,
06,031,0.03317991388714956,5140,154913,
06,033,0.04757688448143557,3224,67764,
06,035,0.04414255469301341,1251,28340,
06,037,0.01669427198168651,162889,9757179,
06,039,0.04723390879636346,7814,165432,
06,041,0.013034321372854913,3342,256400,
06,043,0.03554669169404036,606,17048,
06,045,0.06476030277544155,5775,89175,
06,047,0.027613604965394542,8195,296774,
06,049,0.06065245554116123,515,8491,
06,051,0.02871218535909476,373,12991,
06,053,0.027215983459063703,11873,436251,
06,055,0.014089070046034342,1870,132727,
06,057,0.013014335339302314,1330,102195,
06,059,0.010899135292160224,34555,3170435,
06,061,0.01092614021418923,4740,433822,
06,063,0.03122013380057343,588,18834,
06,065,0.02025468658656178,51243,2529933,
06,067,0.015763102869793346,25398,1611231,
06,069,0.032389132289362195,2240,69159,
