statecode,countycode,v067_race_black,v067_race_black_cilow,v067_race_black_cihigh,v067_race_white,v067_race_white_cilow,v067_race_white_cihigh,v067_race_hispanic,v067_race_hispanic_cilow,v067_race_hispanic_cihigh,v067_race_asian,v067_race_asian_cilow,v067_race_asian_cihigh,v067_race_aian,v067_race_aian_cilow,v067_race_aian_cihigh,v067_race_flag_CT
00,000,0.6717903826254243,,,0.7125810901004436,,,0.6694463644053377,,,0.5647128176375446,,,0.667602076818516,,,
01,000,0.8069822286501482,0.7989865375725811,0.8149779197277154,0.8140275932123202,0.8092939409412728,0.8187612454833676,0.7183767762182895,0.7021860929631696,0.7345674594734095,0.7124840514280106,0.6927606681260327,0.7322074347299886,0.7636400241594524,0.6564341831323414,0.8708458651865635,
01,001,0.8042484538854531,0.7362072926031963,0.8722896151677099,0.8078680707331611,0.7582005001977089,0.8575356412686134,,,,,,,,,,
01,003,0.8422592259225923,0.7904122319423428,0.8941062199028418,0.7739084638209868,0.7535656322884728,0.7942512953535007,0.6032252348041822,0.5330239579034832,0.6734265117048812,,,,,,,
01,005,0.8095378274948484,0.7452446345197353,0.8738310204699614,0.8124156545209177,0.7612126640509268,0.8636186449909086,,,,,,,,,,
01,007,,,,0.8258518117901569,0.7600435691203402,0.8916600544599735,,,,,,,,,,
01,009,,,,0.7494527145359019,0.7009144030566444,0.7979910260151594,0.708171206225681,0.5832056921321722,0.8331367203191897,,,,,,,
01,011,0.9113764927718416,0.8649824550168175,0.9577705305268658,0.9003250270855905,0.84427016431391,0.956379889857271,,,,,,,,,,
01,013,0.867296918767507,0.7985578882700985,0.9360359492649155,0.8536009445100354,0.8092022449478762,0.8979996440721947,,,,,,,,,,
01,015,0.8105593011110056,0.7846981477856839,0.8364204544363273,0.8646286950252343,0.8461177836778588,0.8831396063726098,0.8428954423592493,0.7564211045947572,0.9293697801237414,,,,,,,
01,017,0.7459046232253367,0.6393742819458929,0.8524349645047805,0.8389505936422826,0.7746327414278226,0.9032684458567427,,,,,,,,,,
01,019,,,,0.8217682282493836,0.703969504711341,0.9395669517874261,,,,,,,,,,
01,021,,,,0.7544102386717398,0.7066404212284293,0.8021800561150504,,,,,,,,,,
01,023,0.8202531645569621,0.728824793732045,0.9116815353818791,0.8757187085360459,0.8044751548934219,0.94696226217867,,,,,,,,,,
01,025,0.854080791426216,0.7968206695267105,0.9113409133257214,0.902258726899384,0.8530861448952173,0.9514313089035508,,,,,,,,,,
01,027,,,,0.6823851536355339,0.6148782601318585,0.7498920471392092,,,,,,,,,,
01,029,,,,0.8204518430439952,0.7498574884082315,0.8910461976797589,,,,,,,,,,
01,031,0.8218094255245958,0.7592372851618826,0.884381565887309,0.8277383766745469,0.7938726373873642,0.8616041159617295,0.7468493150684932,0.6850675068218315,0.8086311233151549,,,,,,,
01,033,0.7587772397094431,0.6532943526383556,0.8642601267805307,0.8190623042451693,0.7845103615258004,0.8536142469645382,,,,,,,,,,
01,035,0.875,0.5225648295775978,1,0.8487712665406427,0.7832260118660469,0.9143165212152385,,,,,,,,,,
01,037,,,,0.6734265734265734,0.5769430752368172,0.7699100716163296,,,,,,,,,,
01,039,0.901111761263897,0.813858382551819,0.9883651399759751,0.8643399943709541,0.8279097521550647,0.9007702365868435,,,,,,,,,,
01,041,0.8946648426812586,0.7800567442126796,1,0.7784410112359551,0.7075196286922808,0.8493623937796294,,,,,,,,,,
01,043,,,,0.843453539754643,0.8159509905861029,0.8709560889231831,0.6096925482021887,0.5108484049065506,0.7085366914978267,,,,,,,
01,045,0.7958477508650519,0.7252802701074936,0.8664152316226101,0.8768734007554526,0.8454918169841665,0.9082549845267387,0.8176597272074659,0.7333404993467428,0.901978955068189,,,,,,,
01,047,0.780276134122288,0.7323238453546834,0.8282284228898926,0.8435779816513761,0.7786085959643702,0.908547367338382,,,,,,,,,,
01,049,,,,0.8351920693928129,0.8019236826216186,0.8684604561640071,0.8599019006744328,0.7729453233801994,0.9468584779686663,,,,,,,
01,051,0.8033164440350069,0.7108990622292833,0.8957338258407305,0.7687961755758366,0.73286129610681106,0.8047310550448621,,,,,,,,,,
01,053,0.8896321070234113,0.8263726089792787,0.952891605067544,0.8878261896327784,0.8707445870100557,0.904907792255501,,,,,,,,,,
01,055,0.8794967216019848,0.8215982297271688,0.9373952134768008,0.8689835931649533,0.8491875091999298,0.8887796771299769,0.8273773470623864,0.7621181305909083,0.8926365635338646,,,,,,,
01,057,,,,0.8573132903841565,0.7973380292518863,0.9172885515164266,,,,,,,,,,
01,059,,,,0.8827154455639245,0.8589072659998723,0.9065236251279766,0.735581188997338,0.6667747984041108,0.8043875795905653,,,,,,,
01,061,,,,0.7957760918597498,0.7447375425052092,0.8468146412142905,,,,,,,,,,
01,063,0.8657445077298617,0.7290068919131397,1,,,,,,,,,,,,,
01,065,0.9135695764909249,0.8524925905596318,0.9746465624222179,0.8339148639218423,0.7506050268865967,0.917224700957088,,,,,,,,,,
01,067,0.8315889628924833,0.752213466411881,0.9109644593730856,0.8394308943089431,0.7734861664658979,0.9053756221519884,,,,,,,,,,
01,069,0.8236868517898963,0.7923320892074065,0.8550416143723861,0.8805065778699711,0.8684760028795104,0.8925371528604318,0.8181413961760783,0.7523327603741004,0.8839500319780562,0.6561461794019934,0.642744063207849,0.6695482955961377,,,,
01,071,,,,0.8223353894706642,0.7921783192174994,0.852492459723829,,,,,,,,,,
01,073,0.7821535312845169,0.7646190289370758,0.7996880336319581,0.8241922491304368,0.811793512342328,0.8365909859185455,0.723135343459533,0.6857336890483788,0.7605369978706872,0.742625273734381,0.6769356191210587,0.8083149283477034,0.8375241779497099,0.7542089006668774,0.9208394552325424,
01,075,,,,0.8213426049745921,0.7592087804416732,0.883476429507511,,,,,,,,,,
01,077,0.6889641546711827,0.5647539368710794,0.8131743724712859,0.810099846390169,0.7868252398074719,0.833374452972866,0.6936799184505607,0.5217802408935692,0.8655795960075521,,,,,,,
01,079,,,,0.8207418916294426,0.7637065566795466,0.8777772265793385,,,,,,,,,,
01,081,0.7914432768603903,0.7538625181046731,0.8290240356161075,0.7814243727903906,0.7623893610110394,0.8004593845697417,0.7313186813186813,0.6390512745656973,0.8235860880716652,0.6720686367969495,0.5887328628064671,0.7554044107874319,,,,
01,083,0.7649218001915097,0.670840654483321,0.8590029458996984,0.7745690543231921,0.7502910543778784,0.7988470542685059,0.7669871794871795,0.6717426466983547,0.8622317122760044,,,,,,,
01,085,0.8857331571994715,0.7810135952618509,0.9904527191370922,0.7828185328185329,0.6657299581769615,0.8999071074601043,,,,,,,,,,
01,087,0.6723516694691328,0.6221234729025368,0.7225798660357289,0.6775417298937785,0.5281803762827333,0.8269030835048237,,,,,,,,,,
01,089,0.8021017541720024,0.7772070318432032,0.8269964765008015,0.7863046268836039,0.7759959337846358,0.796613319982572,0.7329394583112055,0.679476575543198,0.7864023410792131,0.7065462753950339,0.6419345228445389,0.7711580279455289,0.6426931905126243,0.41386260692621557,0.871523774099033,
01,091,0.9021827000808408,0.8303418649519781,0.9740235352097034,0.792385484830458,0.7304270087339598,0.8543439609269562,,,,,,,,,,
01,093,,,,0.8623196903952152,0.8233288477865702,0.9013105330038601,,,,,,,,,,
01,095,0.8091787439613527,0.649208622697849,0.9691488652248564,0.8299640478576059,0.813824988851357,0.8461031068638548,0.7296091104955371,0.6789598749050585,0.7802583460860157,0.5254777070063694,0.2010615319443539,0.849893882068385,,,,
01,097,0.8330812445980985,0.8141309006625592,0.8520315885336378,0.8391806207524697,0.826640971710004,0.8517202697949354,0.7779853235490327,0.7417755518491839,0.8141950952488816,0.7344632768361582,0.664269217871139,0.8046573358011774,0.8751381215469614,0.769917019805312,0.9803592232886107,
01,099,0.8621529469069654,0.7177263196997422,1,0.927700089259149,0.8790195500866581,0.97638062843164,,,,,,,,,,
01,101,0.8307726849921416,0.8182710104720946,0.8432743595121887,0.8594288162686837,0.8461668782656347,0.8726907542717327,0.7027134085957616,0.6179883091369869,0.7874385080545363,0.76587207930139245,0.6880024592760802,0.8437416993267047,,,,
01,103,0.8651011312992801,0.8117287212294584,0.9184735413691019,0.8361895397293627,0.8154004046817214,0.8569786747770041,0.7298440979955456,0.6457641251525985,0.8139240708384927,,,,,,,
01,105,0.9400479616306955,0.845756401939253,1,,,,,,,,,,,,,
01,107,0.8410462776659959,0.6819188083763211,1,0.8153980752405949,0.7563256572563188,0.874470493224871,,,,,,,,,,
01,109,0.8595583160800552,0.7863384934353899,0.9327781387247205,0.8532012047022248,0.8283185761458149,0.8780838332586347,,,,,,,,,,
01,111,,,,0.7681331747919143,0.7348749891990117,0.801391360384817,,,,,,,,,,
01,113,0.5895558032160484,0.5247375962732804,0.6543740101588164,0.8180721276310498,0.7583306478273818,0.8778136074347177,,,,,,,,,,
01,115,0.7348781221787541,0.6334779048032638,0.8362783395542445,0.7120523975713534,0.677013358124713,0.7470914370179939,,,,,,,,,,
01,117,0.7431037604877165,0.6945258613580476,0.7916816596173855,0.7101364799545067,0.6864059426285489,0.7338670172804644,0.5978944490019141,0.5416183271339778,0.6541705708698504,0.6051919956733369,0.4928685086770612,0.7175154826696126,,,,
01,119,0.7609409190371991,0.6760713961939494,0.8458104418804487,0.7981275599765945,0.7002646019306817,0.8959905180225072,,,,,,,,,,
01,121,0.8595834308448397,0.8279615105275957,0.8912053511620837,0.8618925831202046,0.8350410309188465,0.8887441353215626,,,,,,,,,,
01,123,0.8597033374536465,0.7632871361648489,0.956119538742444,0.8245318537600317,0.7933113292812111,0.8557523782388523,,,,,,,,,,
01,125,0.8142890692273569,0.7959661080419064,0.8326120304128074,0.7979119318181818,0.7756515535038073,0.8201723101325562,0.6137860082304527,0.5370413658891912,0.6905306505717143,0.5273258239465999,0.4126038066732442,0.6420478412199556,,,,
01,127,0.8086003372681282,0.6583724492106662,0.9588282253255902,0.853051345588659,0.8209981101082763,0.8851045810690418,,,,,,,,,,
01,129,0.7600411946446962,0.6773214882181776,0.8427609010712148,0.8372307692307692,0.7622133861747398,0.9122481522867987,,,,,,,,,,
