statecode,countycode,v136_numerator,v136_denominator,v136_rawvalue,v136_flag_CT,v136_cilow,v136_cihigh
00,000,21468140,125736345,0.17073933555170542,,,
01,000,260050,1933150,0.13452137702713188,,0.1317002986257662,0.13734245542849755
01,001,2725,22310,0.12214253697893321,,0.09893739231061553,0.1453476816472509
01,003,12650,90800,0.1393171806167401,,0.12321989626043524,0.15541446497304495
01,005,1230,9015,0.13643926788685523,,0.10976471331568344,0.16311382245802702
01,007,935,7215,0.1295911295911296,,0.08807361347091258,0.1711086457113466
01,009,2430,21625,0.11236994219653179,,0.09143056785027145,0.13330931654279213
01,011,420,3450,0.12173913043478261,,0.07168714418128319,0.17179111668828204
01,013,910,7130,0.1276297335203366,,0.09791054937627719,0.15734891766439602
01,015,5675,44695,0.12697169705783645,,0.1111009134520782,0.1428424806635947
01,017,1935,13145,0.14720426017497149,,0.11564380926157593,0.17876471108836706
01,019,885,9995,0.08854427213606804,,0.06637471205069842,0.11071383222143766
01,021,1950,16930,0.1151801535735381,,0.09097802252482758,0.13938228462224864
01,023,655,5230,0.12523900573613767,,0.08982951414335547,0.16064849732891986
01,025,820,8190,0.10012210012210013,,0.07472925367627435,0.1255149465679259
01,027,600,5485,0.10938924339106655,,0.07147578290459475,0.14730270387753835
01,029,540,5760,0.09375,,0.0698097512198685,0.1176902487801315
01,031,2575,20365,0.12644242573041983,,0.10645453576672412,0.14643031569411555
01,033,2765,23265,0.11884805501826778,,0.09379465346102457,0.143901456575511
01,035,455,4455,0.10213243546576879,,0.06375339674710825,0.14051147418442933
01,037,285,4000,0.07125,,0.04046992157807952,0.10203007842192047
01,039,1685,14195,0.11870376893272279,,0.09754108166848269,0.1398664561969629
01,041,545,4840,0.11260330578512397,,0.08379678238307907,0.14140982918716888
01,043,3670,33650,0.10906389301634473,,0.09355225190304645,0.124575534129643
01,045,2160,19400,0.11134020618556702,,0.09170689226133043,0.13097352010980362
01,047,2535,14755,0.17180616740088106,,0.13868052065966288,0.20493181414209924
01,049,3285,25690,0.12787076683534448,,0.10772910922982251,0.14801242444086646
01,051,3170,32185,0.09849308684169644,,0.08080980481425454,0.11617636886913835
01,053,1400,13020,0.10752688172043011,,0.08110507771561286,0.13394868572524735
01,055,4715,38790,0.12155194637793246,,0.10641005064047056,0.13669384211539437
01,057,655,6145,0.10659072416598861,,0.07368684119543559,0.13949460713654163
01,059,1180,11240,0.10498220640569395,,0.07553044399126044,0.13443396882012745
01,061,1200,10390,0.11549566891241578,,0.08444364785995309,0.14654768996487846
01,063,355,2870,0.12369337979094076,,0.06643481980069926,0.18095193978118226
01,065,955,5405,0.17668825161887142,,0.12583327721964357,0.22754322601809926
01,067,565,6685,0.08451757666417352,,0.059955166788563566,0.10907998653978347
01,069,5480,41545,0.13190516307618244,,0.12171110532455384,0.14209922082781104
01,071,2340,20670,0.11320754716981132,,0.09174832861824384,0.1346667657213788
01,073,43120,265795,0.1622302902612916,,0.15413267760554414,0.17032790291703906
01,075,450,5170,0.08704061895551257,,0.05375515995266401,0.12032607795836114
01,077,4530,38235,0.11847783444488034,,0.10321582539088021,0.13373984349888046
01,079,1110,12830,0.08651597817614964,,0.06407097154143455,0.10896098481086473
01,081,11390,65165,0.1747870789534259,,0.15691866930832085,0.19265548859853096
01,083,3740,38570,0.09696655431682655,,0.08232776840257952,0.11160534023107357
01,085,755,4000,0.18875,,0.1430635216045006,0.23443647839549941
01,087,1095,7130,0.1535764375876578,,0.1219522864871238,0.18520058868819178
01,089,17920,159570,0.11230181111737796,,0.10272648124659936,0.12187714098815655
01,091,725,7380,0.09823848238482384,,0.0630051140038626,0.13347185076578508
01,093,1055,11020,0.09573502722323049,,0.071596688567752,0.11987336587870898
01,095,3940,35930,0.1096576676871695,,0.09488374871501451,0.1244315866593245
01,097,25235,159605,0.1581090817956831,,0.14804105118621574,0.16817711240515043
01,099,785,7300,0.10753424657534247,,0.07219652031915402,0.1428719728315309
01,101,15990,89720,0.17822113241194829,,0.16370470805151247,0.1927375567723841
01,103,5555,48005,0.11571711280074992,,0.1002957841413383,0.13113844146016154
01,105,345,3075,0.11219512195121951,,0.048008724463495384,0.17638151943894365
01,107,850,7085,0.11997177134791814,,0.09104306461709515,0.14890047807874113
01,109,2030,11995,0.169237182159233,,0.13314361318684587,0.20533075113162014
01,111,1040,8730,0.11912943871706758,,0.09007854517787563,0.14818033225625954
01,113,4125,23460,0.1758312020460358,,0.1471797059955474,0.20448269809652422
01,115,3110,33840,0.091903073286052,,0.07609705509894282,0.10770909147316118
01,117,8835,83775,0.10546105640107431,,0.09503144868607873,0.1158906641160699
01,119,560,4800,0.11666666666666667,,0.0770722149989794,0.15626111833435394
01,121,5010,32360,0.15482076637824474,,0.13504608610220614,0.17459544665428334
01,123,1860,16440,0.11313868613138686,,0.08807193000323071,0.138205442259543
01,125,13725,84745,0.16195645760811847,,0.1459922365333522,0.17792067868288475
01,127,2790,24720,0.11286407766990292,,0.09054615815481667,0.13518199718498916
01,129,490,5505,0.08900999091734786,,0.05919435856306629,0.11882562327162943
01,131,715,3580,0.19972067039106145,,0.14853639109996905,0.2509049496821538
01,133,820,9105,0.0900604063701263,,0.06771990591240946,0.11240090682784314
02,000,51895,264375,0.1962931442080378,,0.18920075113028567,0.20338553728578995
02,013,140,900,0.15555555555555556,,0.11129736659265704,0.19981374451845407
02,016,160,970,0.16494845360824742,,0.12508500450822058,0.20481190270827426
02,020,18190,107135,0.169785784290848,,0.15702731939858772,0.1825442491831083
02,050,2545,4565,0.5575027382256298,,0.5219765176446718,0.5930289588065878
