statecode,countycode,v056_rawvalue,v056_numerator,v056_denominator,v056_flag_CT
00,000,0.20018804273386193,68086153,340110988,
01,000,0.06038487317697291,311447,5157699,
01,001,0.040104776779903685,2465,61464,
01,003,0.06155392801443381,16103,261608,
01,005,0.06474258970358815,1577,24358,
01,007,0.03576242249977536,796,22258,
01,009,0.10749131526020976,6467,60163,
01,011,0.06696293303706696,663,9901,
01,013,0.019336108676599476,353,18256,
01,015,0.05051233820333771,5881,116427,
01,017,0.046550143435956585,1574,33813,
01,019,0.02077435151886143,543,26138,
01,021,0.10841690999111336,5124,47262,
01,023,0.013524726186525058,163,12052,
01,025,0.01427152018787824,316,22142,
01,027,0.035114825479317366,500,14239,
01,029,0.02269726501100283,361,15905,
01,031,0.10564604847581532,5954,56358,
01,033,0.04040146295823765,2375,58785,
01,035,0.03123593482761725,347,11109,
01,037,0.027985618501603342,288,10291,
01,039,0.02206739429903571,833,37748,
01,041,0.03080677138935489,404,13114,
01,043,0.05414452939397866,5014,92604,
01,045,0.0738210797531308,3696,50067,
01,047,0.012041074694049796,428,35545,
01,049,0.17943984026695112,13121,73122,
01,051,0.03676325212539268,3347,91042,
01,053,0.025334425334425335,928,36630,
01,055,0.057660817580202896,5951,103207,
01,057,0.023639916787492908,375,15863,
01,059,0.21948923887808244,6996,31874,
01,061,0.058439414505301004,1593,27259,
01,063,0.010242738880314298,73,7127,
01,065,0.015546440857369675,235,15116,
01,067,0.02414420373739044,438,18141,
01,069,0.05160653219464916,5644,109366,
01,071,0.040628486426180735,2185,53780,
01,073,0.05882414884526976,39103,664744,
01,075,0.021339437347707303,289,13543,
01,077,0.0368607823429263,3594,97502,
01,079,0.037685822385080586,1265,33567,
01,081,0.05656731275985243,10626,187847,
01,083,0.0782986665769871,9313,118942,
01,085,0.017290458618871903,164,9485,
01,087,0.026818657415055895,487,18159,
01,089,0.07239078314889395,30647,423355,
01,091,0.03354580812445981,621,18512,
01,093,0.03536473075742591,1037,29323,
01,095,0.18413994283253063,18811,102156,
01,097,0.036952604531708136,15237,412339,
01,099,0.01579472109985832,301,19057,
01,101,0.053131114593570436,12002,225894,
01,103,0.11336093398052093,14293,126084,
01,105,0.014768752429071124,114,7719,
01,107,0.06851091419926518,1268,18508,
01,109,0.028921627822726725,958,33124,
