statecode,countycode,v149_flag_CT,v149_numerator,v149_denominator,v149_rawvalue,v149_cilow,v149_cihigh
00,000,,1215928,17593720,0.0691114784138886,0.06841690119595267,0.06980605563182452
01,000,,21029,276561,0.0760374745535343,0.07046742801240086,0.08160752109466773
01,001,,,,,,
01,003,,915,10758,0.08505298382598996,0.04542156614085686,0.12468440151112306
01,005,,,,,,
01,007,,,,,,
01,009,,,,,,
01,011,,,,,,
01,013,,,,,,
01,015,,433,7364,0.05879956545355785,0.02521090329947341,0.09238822760764229
01,017,,,,,,
01,019,,,,,,
01,021,,366,1985,0.18438287153652394,0.0645356573098073,0.30423008576324057
01,023,,,,,,
01,025,,288,1103,0.2611060743427017,0.09466795943749737,0.42754418924790605
01,027,,,,,,
01,029,,,,,,
01,031,,236,2872,0.08217270194986072,0.027224398614648225,0.1371210052850732
01,033,,,,,,
01,035,,,,,,
01,037,,,,,,
01,039,,,,,,
01,041,,,,,,
01,043,,404,4452,0.09074573225516622,0.04264341078420728,0.13884805372612516
01,045,,207,2447,0.08459337964854924,0.04128272341710867,0.1279040358799898
01,047,,304,1836,0.1655773420479303,0.08076628791104486,0.25038839618481573
01,049,,277,3602,0.07690172126596335,0.03357553944193247,0.12022790308999423
01,051,,453,4180,0.10837320574162679,0.05440242776780514,0.16234398371544845
01,053,,530,1955,0.2710997442455243,0.10092738039134636,0.44127210809970224
01,055,,311,4551,0.06833662931223906,0.03628316674930722,0.10039009187517091
01,057,,,,,,
01,059,,,,,,
01,061,,,,,,
01,063,,,,,,
01,065,,,,,,
01,067,,,,,,
01,069,,322,5025,0.06407960199004975,0.04479940678592266,0.08335979719417684
01,071,,,,,,
01,073,,2921,35930,0.08129696632340662,0.06595228945529234,0.0966416431915209
01,075,,,,,,
01,077,,,,,,
01,079,,,,,,
01,081,,441,14181,0.03109794795853607,0.013749260029667941,0.0484466358874042
01,083,,451,5517,0.081747326445532,0.02759076962675673,0.13590388326430725
01,085,,,,,,
01,087,,,,,,
01,089,,757,21666,0.03493953660112619,0.02106667026006588,0.0488124029421865
01,091,,,,,,
01,093,,,,,,
01,095,,483,5139,0.09398715703444249,0.06160660833470168,0.1263677057341833
01,097,,1772,20317,0.0872176010237732,0.0670572449883365,0.1073779570592099
01,099,,,,,,
01,101,,1071,12606,0.08495954307472632,0.05670483191422358,0.11321425423522906
01,103,,776,6049,0.12828566705240535,0.08052734473321527,0.17604398937159543
01,105,,,,,,
01,107,,,,,,
01,109,,,,,,
01,111,,,,,,
01,113,,,,,,
01,115,,502,4729,0.10615352082892789,0.05870732261410787,0.15359971904374792
01,117,,556,12377,0.04492203280277935,0.02741827512243927,0.06242579048311943
01,119,,,,,,
01,121,,212,3218,0.06587942821628341,0.02315048426906964,0.10860837216349718
01,123,,,,,,
01,125,,778,21739,0.03578821472928838,0.021925284367612763,0.049651145090963994
01,127,,256,3209,0.07977563103770645,0.038679484586652,0.1208717774887609
01,129,,,,,,
01,131,,,,,,
01,133,,,,,,
02,000,,3873,36372,0.10648300890795118,0.09195379468851031,0.12101222312739204
02,013,,,,,,
02,016,,,,,,
02,020,,1158,13728,0.08435314685314685,0.05804717821348183,0.11065911549281188
02,050,,233,1174,0.19846678023850084,0.15225091389796952,0.24468264657903216
02,060,,,,,,
02,063,,,,,,
02,066,,,,,,
02,068,,,,,,
02,070,,47,259,0.18146718146718147,0.08440288678059595,0.278531476153767
02,090,,471,4446,0.10593792172739541,0.05070286904026782,0.161172974414523
02,100,,,,,,
02,105,,,,,,
02,110,,142,1581,0.08981657179000632,0.0337386528586379,0.14589449072137475
02,122,,288,2739,0.10514786418400876,0.0585404219347344,0.1517553064332831
02,130,,,,,,
02,150,,,,,,
02,158,,162,566,0.2862190812720848,0.21899990943358305,0.3534382531105865
02,164,,,,,,
02,170,,635,6250,0.1016,0.07459065130971691,0.12860934869028307
02,180,,141,637,0.22135007849293564,0.15087074601762207,0.2918294109682492
02,185,,141,691,0.2040520984081042,0.0991583024004859,0.3089458944157225
02,188,,96,523,0.1835564053537285,0.1195111779815053,0.2476016327259517
02,195,,,,,,
02,198,,,,,,
02,220,,,,,,
02,230,,,,,,
02,240,,,,,,
02,275,,,,,,
02,282,,,,,,
02,290,,,,,,
04,000,,31727,387899,0.08179190974970289,0.07654998377900744,0.08703383572039834
04,001,,740,4234,0.1747756258856873,0.13679553737923492,0.21275571439213967
04,003,,446,6024,0.07403718459495352,0.03944270831545871,0.10863166087444834
04,005,,404,13500,0.029925925925925925,0.018860348878249993,0.04099150297360186
04,007,,254,1932,0.13146997929606624,0.05084191067509511,0.21209804791703737
04,009,,282,2301,0.12255541069100391,0.052537584026033604,0.1925732373559742
04,011,,,,,,
04,012,,,,,,
04,013,,18134,241878,0.07497167993781989,0.06857438547193152,0.08136897440370826
04,015,,1149,7601,0.15116432048414682,0.09947710628550949,0.20285153468278416
04,017,,874,5629,0.15526736542902825,0.11374184804190267,0.1967928828161538
04,019,,4214,57033,0.07388704784949064,0.061239251497774774,0.08653484420120651
04,021,,2463,21834,0.1128057158560044,0.08913919325264547,0.13647223845936332
04,023,,,,,,
04,025,,874,10132,0.08626135017765496,0.05942697023905991,0.11309573011625002
04,027,,1472,11956,0.12311809969889595,0.08591646870828683,0.16031973068950506
05,000,,15991,166614,0.09597632851981226,0.08747859772736724,0.10447405931225728
05,001,,,,,,
05,003,,,,,,
05,005,,236,1891,0.12480169222633528,0.053433112936784405,0.19617027151588615
05,007,,1234,16098,0.0766554851534352,0.05157251577804284,0.10173845452882757
05,009,,,,,,
05,011,,,,,,
05,013,,,,,,
05,015,,,,,,
05,017,,,,,,
05,019,,,,,,
05,021,,,,,,
05,023,,,,,,
05,025,,,,,,
05,027,,,,,,
05,029,,,,,,
05,031,,409,6930,0.05901875901875902,0.02638070386936444,0.0916568141681536
05,033,,287,2835,0.10123456790123457,0.03773117112341566,0.1647379646790535
05,035,,358,2544,0.14072327044025157,0.07729379068740906,0.2041527501930941
05,037,,,,,,
05,039,,,,,,
05,041,,,,,,
05,043,,,,,,
05,045,,605,7848,0.07708970438328236,0.047286459898580074,0.10689294886798464
05,047,,,,,,
05,049,,,,,,
05,051,,509,4702,0.10825180774138664,0.058083674699133676,0.1584199407836396
05,053,,,,,,
05,055,,,,,,
05,057,,,,,,
05,059,,,,,,
05,061,,,,,,
05,063,,,,,,
05,065,,,,,,
05,067,,,,,,
05,069,,575,3892,0.14773895169578624,0.07944870145960845,0.21602920193196404
05,071,,,,,,
05,073,,,,,,
05,075,,,,,,
05,077,,,,,,
05,079,,,,,,
05,081,,,,,,
05,083,,,,,,
05,085,,328,4284,0.0765639589169001,0.03605377377839268,0.11707414405540752
05,087,,,,,,
05,089,,,,,,
05,091,,459,2481,0.18500604594921402,0.07643859618416073,0.29357349571426733
05,093,,137,1936,0.07076446280991736,0.023508719954080846,0.11802020566575386
05,095,,,,,,
05,097,,,,,,
05,099,,,,,,
05,101,,,,,,
05,103,,,,,,
05,105,,,,,,
05,107,,,,,,
05,109,,,,,,
05,111,,,,,,
05,113,,,,,,
05,115,,240,4460,0.053811659192825115,0.02314670982619675,0.08447660855945348
05,117,,,,,,
05,119,,2665,19240,0.13851351351351351,0.10074509870155288,0.17628192832547415
05,121,,,,,,
05,123,,,,,,
05,125,,867,6207,0.13968100531657807,0.08953171685867178,0.18983029377448435
05,127,,,,,,
05,129,,,,,,
05,131,,771,6828,0.11291739894551846,0.06520510003427979,0.16062969785675713
05,133,,,,,,
05,135,,131,789,0.16603295310519645,0.06290351724892801,0.2691623889614649
05,137,,,,,,
05,139,,,,,,
05,141,,,,,,
05,143,,1259,18986,0.06631201938270305,0.04744212013550686,0.08518191862989924
05,145,,266,4927,0.05398822813070834,0.02678765512127757,0.08118880114013911
05,147,,,,,,
05,149,,,,,,
06,000,,138353,2078726,0.06655663132129969,0.06471465190108443,0.06839861074151495
06,001,,4068,78203,0.052018464764778845,0.04386128426275815,0.06017564526679954
06,003,,,,,,
06,005,,,,,,
06,007,,958,12240,0.07826797385620915,0.05153722499396578,0.10499872271845252
06,009,,,,,,
06,011,,,,,,
06,013,,3461,59920,0.05776034712950601,0.047487633064841196,0.06803306119417082
06,015,,,,,,
06,017,,688,8732,0.0787906550618415,0.04264365088904908,0.11493765923463392
06,019,,5333,62782,0.08494472938103279,0.07208327403494895,0.09780618472711662
06,021,,206,1641,0.125533211456429,0.04424172223404965,0.20682470067880837
06,023,,834,7429,0.11226275407188047,0.06232991664782264,0.1621955914959383
06,025,,753,11005,0.0684234438891413,0.03859774348601894,0.09824914429226367
06,027,,,,,,
06,029,,6879,57277,0.12010056392618329,0.10299476509178221,0.13720636276058437
06,031,,1121,8969,0.12498606310625487,0.085385089128128,0.16458703708438174
06,033,,394,2702,0.14581791265729088,0.0720924900711309,0.21954333524345088
06,035,,,,,,
06,037,,33961,488187,0.06956555582184695,0.06610231957799464,0.07302879206569926
06,039,,960,10081,0.09522864795159211,0.06268113262032154,0.12777616328286268
