statecode,countycode,v137_flag_CT,v137_numerator,v137_denominator,v137_rawvalue,v137_cilow,v137_cihigh
00,000,,,109447738,0.363,0.36061702127659573,0.36538297872340425
01,000,,,1796123,0.35800000000000004,0.3525399098102654,0.3634600901897347
01,001,,,22790,0.41700000000000004,0.37012129054967086,0.4638787094503292
01,003,,,89348,0.395,0.367337937918738,0.42266206208126206
01,005,,,7049,0.397,0.3296940325463897,0.46430596745361036
01,007,,,6740,0.539,0.4581716941324076,0.6198283058675924
01,009,,,21514,0.628,0.5763657393156959,0.6796342606843041
01,011,,,2676,0.42,0.2994533050694915,0.5405466949305084
01,013,,,6030,0.373,0.3117569831957278,0.4342430168042722
01,015,,,41650,0.327,0.2984290887972859,0.3555709112027141
01,017,,,11967,0.33899999999999997,0.2873657393156959,0.390634260684304
01,019,,,8438,0.48200000000000004,0.42191537580809485,0.5420846241919053
01,021,,,15421,0.496,0.4411009074147691,0.550899092585231
01,023,,,3648,0.5309999999999999,0.4400869412775849,0.6219130587224149
01,025,,,7269,0.37200000000000005,0.3042525393492382,0.4397474606507619
01,027,,,4074,0.429,0.3343159455478558,0.5236840544521442
01,029,,,5129,0.586,0.49421664258179043,0.6777833574182095
01,031,,,19352,0.30200000000000005,0.27308336078414264,0.33091663921585746
01,033,,,20703,0.251,0.21575526937727887,0.2862447306227211
01,035,,,2778,0.413,0.3200027478416238,0.5059972521583761
01,037,,,3128,0.425,0.33121987129668307,0.5187801287033169
01,039,,,12465,0.29700000000000004,0.25755468340400756,0.3364453165959925
01,041,,,4233,0.503,0.42117668562129307,0.5848233143787069
01,043,,,33098,0.36200000000000004,0.327160394682385,0.3968396053176151
01,045,,,15731,0.317,0.27714294441336373,0.3568570555866363
01,047,,,11029,0.314,0.2660879030331296,0.3619120969668704
01,049,,,24731,0.3,0.2646748018510246,0.3353251981489754
01,051,,,34121,0.5,0.461464942501592,0.538535057498408
01,053,,,10899,0.354,0.2950242854840156,0.41297571451598436
01,055,,,36942,0.316,0.2821524735389302,0.3498475264610698
01,057,,,5424,0.42400000000000004,0.3426552140793955,0.5053447859206046
01,059,,,11640,0.34600000000000003,0.2922111500377396,0.39978884996226044
01,061,,,9625,0.425,0.36813212122793393,0.48186787877206605
01,063,,,1941,0.46,0.33973627892205105,0.580263721077949
01,065,,,4475,0.49,0.38011134488349707,0.5998886551165029
01,067,,,6412,0.419,0.3482191134080313,0.48978088659196867
01,069,,,39963,0.25,0.23531033258866968,0.2646896674113303
01,071,,,17629,0.3940000000000001,0.3532622137937188,0.43473778620628134
01,073,,,237051,0.32,0.3068936170212766,0.3331063829787234
01,075,,,4171,0.39599999999999996,0.3281269259027181,0.46387307409728185
01,077,,,34948,0.32,0.28845364559519454,0.35154635440480547
01,079,,,12882,0.527,0.47129229746864565,0.5827077025313544
01,081,,,66504,0.26599999999999996,0.24543170459380004,0.2865682954061999
01,083,,,42141,0.426,0.39103836416754095,0.460961635832459
01,085,,,2719,0.602,0.49808054098933946,0.7059194590106606
01,087,,,5107,0.43700000000000006,0.35846105567064585,0.5155389443293542
01,089,,,152148,0.28,0.26414826504348077,0.2958517349565193
01,091,,,6007,0.379,0.30104162408804147,0.45695837591195854
01,093,,,9290,0.314,0.26173719646085813,0.36626280353914187
