statecode,countycode,v126_rawvalue,v126_numerator,v126_denominator,v126_flag_CT
00,000,0.5746160250488584,195433224,340110988,
01,000,0.6367294795605559,3284059,5157699,
01,001,0.7093420538852011,43599,61464,
01,003,0.8174902908167946,213862,261608,
01,005,0.44864110353887837,10928,24358,
01,007,0.7301195075927757,16251,22258,
01,009,0.850323288399847,51158,60163,
01,011,0.2216947783052217,2195,9901,
01,013,0.5026292725679229,9176,18256,
01,015,0.6906731256495486,80413,116427,
01,017,0.543134297459557,18365,33813,
01,019,0.9067640982477618,23701,26138,
01,021,0.769899708010664,36387,47262,
01,023,0.5689512114171922,6857,12052,
01,025,0.5154457591906784,11413,22142,
01,027,0.797738605239132,11359,14239,
01,029,0.9233574347689406,14686,15905,
01,031,0.673551226090351,37960,56358,
01,033,0.7676618184911117,45127,58785,
01,035,0.5022954361328652,5580,11109,
01,037,0.6638810611213681,6832,10291,
01,039,0.8246529617463176,31129,37748,
01,041,0.69513497026079,9116,13114,
01,043,0.9059435877499892,83894,92604,
01,045,0.66207282241796,33148,50067,
01,047,0.2629061752707835,9345,35545,
01,049,0.7664177675665327,56042,73122,
01,051,0.7168230047670306,65261,91042,
01,053,0.6043953043953044,22139,36630,
01,055,0.7612661931845708,78568,103207,
01,057,0.8388703271764484,13307,15863,
01,059,0.7188303946790487,22912,31874,
01,061,0.8140063832128838,22189,27259,
01,063,0.1842289883541462,1313,7127,
01,065,0.3932257210902355,5944,15116,
01,067,0.7136321040736453,12946,18141,
01,069,0.6364592286451,69607,109366,
01,071,0.8783934548159167,47240,53780,
01,073,0.4769339775913735,317039,664744,
01,075,0.8523960717713949,11544,13543,
01,077,0.829993230908084,80926,97502,
01,079,0.7559209938332291,25374,33567,
01,081,0.6529728981564784,122659,187847,
01,083,0.7226967765801819,85959,118942,
01,085,0.2554559831312599,2423,9485,
01,087,0.17302714907208547,3142,18159,
01,089,0.6184313401282612,261816,423355,
01,091,0.4370678478824546,8091,18512,
01,093,0.8982368789005217,26339,29323,
01,095,0.756372606601668,77268,102156,
01,097,0.5483716068574643,226115,412339,
01,099,0.5346591803536758,10189,19057,
01,101,0.28728518685755267,64896,225894,
01,103,0.7205275847847467,90847,126084,
01,105,0.27944034201321416,2157,7719,
01,107,0.5262048843743247,9739,18508,
01,109,0.5467334862939258,18110,33124,
01,111,0.7606537477782113,17546,23067,
01,113,0.439621326716182,25866,58837,
01,115,0.8243007624294573,79897,96927,
01,117,0.7309434713881908,172480,235969,
01,119,0.2640647884897045,3065,11607,
01,121,0.6193179723502305,50397,81375,
01,123,0.6821052114302563,27761,40699,
01,125,0.5858497918843175,141314,241212,
01,127,0.8683420165491879,56668,65260,
01,129,0.6568118258090292,9864,15018,
01,131,0.2770400405473898,2733,9865,
01,133,0.916921530018015,21886,23869,
02,000,0.5847854372119605,432819,740133,
02,013,0.11068281938325991,402,3632,
02,016,0.25737463126843657,1396,5424,
02,020,0.543646408839779,157440,289600,
02,050,0.07885068816143007,1438,18237,
02,060,0.4106334841628959,363,884,
02,063,0.6632344033918837,4380,6604,
02,066,0.6480425693652604,1705,2631,
02,068,0.7285626156693399,1181,1621,
02,070,0.14928909952606634,693,4642,
02,090,0.6766332108139989,64247,94951,
02,100,0.7480988593155894,1574,2104,
02,105,0.4602076124567474,1064,2312,
02,110,0.6275497276067401,19813,31572,
02,122,0.7867905124145024,48198,61259,
02,130,0.6138041968267895,8395,13677,
02,150,0.46372688477951635,5868,12654,
02,158,0.025547445255474453,203,7946,
02,164,0.22585551330798478,297,1315,
02,170,0.7675512060741585,90274,117613,
02,180,0.12789751931679544,1258,9836,
02,185,0.31501453624683484,3359,10663,
02,188,0.08508550602747407,607,7134,
02,195,0.6752037252619325,2320,3436,
02,198,0.4399582318134354,2528,5746,
02,220,0.6050269299820467,5055,8355,
02,230,0.7587131367292225,849,1119,
02,240,0.7263776835771913,5312,7313,
02,275,0.6051356589147286,1249,2064,
02,282,0.3695652173913043,255,690,
02,290,0.2149441066875858,1096,5099,
04,000,0.5237219586873997,3971061,7582384,
04,001,0.19419753086419753,12584,64800,
04,003,0.5486233134297505,69002,125773,
04,005,0.5292812807847838,76831,145161,
04,007,0.6191629833743273,33480,54073,
04,009,0.5275582724516674,21230,40242,
04,011,0.4391073326248672,4132,9410,
04,012,0.5694444444444444,9676,16992,
04,013,0.5208236680778653,2433859,4673096,
04,015,0.7481267578892524,169435,226479,
04,017,0.4347127360385697,47608,109516,
04,019,0.5055589552922791,546079,1080149,
04,021,0.5443290221888367,279710,513862,
04,023,0.1552031361368496,7839,50508,
04,025,0.7806978211441473,196746,252013,
04,027,0.28527983296264353,62850,220310,
05,000,0.6977907972984962,2155025,3088354,
05,001,0.6703426791277258,10759,16050,
05,003,0.6719862099644128,12085,17984,
05,005,0.9306159462413095,40023,43007,
05,007,0.6891555699296568,221609,321566,
05,009,0.9240086965524381,35700,38636,
05,011,0.5339708102667338,5305,9935,
05,013,0.7296375266524521,3422,4690,
05,015,0.75486743993372,21867,28968,
05,017,0.39117773943054357,3627,9272,
05,019,0.6760516252390057,14143,20920,
05,021,0.9359410430839002,13208,14112,
05,023,0.9307104421742182,23869,25646,
05,025,0.832632007601466,6134,7367,
05,027,0.5822738830366873,12824,22024,
05,029,0.7958173839977594,17048,21422,
05,031,0.7103459586368815,82295,115852,
05,033,0.8108998040412477,50485,62258,
05,035,0.37940943108957176,17693,46633,
05,037,0.7202667654686921,11664,16194,
05,039,0.5197498354180382,3158,6076,
05,041,0.4250557116558473,4387,10321,
05,043,0.647239444936522,10961,16935,
05,045,0.7708398234190151,101451,131611,
05,047,0.9027635619242579,15876,17586,
05,049,0.9281045751633987,11644,12546,
05,051,0.7961902664611319,79541,99902,
05,053,0.9081203494014882,16842,18546,
05,055,0.9042575860893284,42435,46928,
05,057,0.5124313007066214,9790,19105,
05,059,0.8115750607870801,27036,33313,
05,061,0.6291273108904497,7793,12387,
05,063,0.8514278263137306,32648,38345,
05,065,0.9112728290532502,13023,14291,
05,067,0.7526539914832364,12549,16673,
05,069,0.3691418519914562,23504,63672,
05,071,0.7674232003668042,20085,26172,
05,073,0.5858686616791355,3524,6015,
05,075,0.9314320760502913,15187,16305,
05,077,0.40054294175715693,3246,8104,
05,079,0.6185887472800746,7960,12868,
05,081,0.716497505590917,8330,11626,
05,083,0.8967236799179755,19241,21457,
05,085,0.8331042427574651,63640,76389,
05,087,0.8662748390708088,15476,17865,
05,089,0.9268459046211561,16306,17593,
05,091,0.6578244911578245,27601,41958,
05,093,0.569523559522247,21696,38095,
05,095,0.523460639127046,3358,6415,
05,097,0.8866039952996475,7545,8510,
05,099,0.6221889055472264,4980,8004,
05,101,0.9296897238827213,6532,7026,
05,103,0.5372163807415606,11649,21684,
05,105,0.9019607843137255,9246,10251,
05,107,0.33278766796262194,4879,14661,
05,109,0.8474119876333899,8497,10027,
05,111,0.8409865470852018,18754,22300,
05,113,0.8651332715858804,16813,19434,
05,115,0.8077712135001311,52367,64829,
05,117,0.8471329552614997,6722,7935,
05,119,0.48509131151095813,194623,401209,
05,121,0.8885504201680672,16918,19040,
05,123,0.394326826138759,8605,21822,
05,125,0.782593789047024,102717,131252,
05,127,0.8280979973569178,8146,9837,
05,129,0.9263654925982644,7259,7836,
05,131,0.6634752182104818,86275,130035,
05,133,0.5302192564346997,8343,15735,
05,135,0.9206287920573635,16691,18130,
05,137,0.9335158388736801,11935,12785,
05,139,0.5939796800691742,21982,37008,
05,141,0.9187716691431401,14840,16152,
05,143,0.6751683046313828,179719,266184,
05,145,0.8639036047085004,68327,79091,
05,147,0.6990358126721763,4060,5808,
05,149,0.7228071918148405,14553,20134,
06,000,0.33575561604506554,13239268,39431263,
06,001,0.2706572229027446,446330,1649060,
06,003,0.618744313011829,680,1099,
06,005,0.7389711131204493,31056,42026,
06,007,0.6562682999414402,136723,208334,
06,009,0.7629932265347812,35483,46505,
06,011,0.30198423484642567,6666,22074,
06,013,0.37648845691693805,441473,1172607,
06,015,0.6075382279980747,16409,27009,
06,017,0.7387552314817216,142449,192823,
06,019,0.25755937995850114,263773,1024125,
06,021,0.4605002826455625,13034,28304,
06,023,0.7059072367427104,93448,132380,
06,025,0.08621866126653606,15668,181724,
06,027,0.5839870164998647,10795,18485,
06,029,0.2923756326359388,269725,922529,
06,031,0.2721914881255931,42166,154913,
06,033,0.6387462369399681,43284,67764,
06,035,0.6275582215949188,17785,28340,
06,037,0.2495400566085751,2434807,9757179,
06,039,0.2950215194158325,48806,165432,
06,041,0.6631357254290171,170028,256400,
06,043,0.7455419990614734,12710,17048,
06,045,0.609408466498458,54344,89175,
06,047,0.22466590739080916,66675,296774,
06,049,0.7360734895771994,6250,8491,
06,051,0.6428296512970518,8351,12991,
06,053,0.26366014060712756,115022,436251,
06,055,0.48414414550166884,64259,132727,
06,057,0.8242575468467146,84235,102195,
06,059,0.366871738420753,1163143,3170435,
06,061,0.6597936480860814,286233,433822,
06,063,0.8175108845704577,15397,18834,
