statecode,countycode,v080_rawvalue,v080_numerator,v080_denominator,v080_flag_CT
00,000,0.0027629568968821436,939712,340110988,
01,000,0.0012854569450446798,6630,5157699,
01,001,0.0012364961603540284,76,61464,
01,003,6.918748662120424e-4,181,261608,
01,005,0.0029148534362427128,71,24358,
01,007,0.001437685326624135,32,22258,
01,009,0.001495936040423516,90,60163,
01,011,0.006261993738006262,62,9901,
01,013,5.477651183172656e-4,10,18256,
01,015,0.0012797718742216153,149,116427,
01,017,5.619140567237453e-4,19,33813,
01,019,6.503940622847961e-4,17,26138,
01,021,0.001883119630993187,89,47262,
01,023,0,0,12052,
01,025,1.8065215427693975e-4,4,22142,
01,027,0,0,14239,
01,029,7.544797233574348e-4,12,15905,
01,031,0.0047908016608112424,270,56358,
01,033,7.655014034192396e-4,45,58785,
01,035,4.500855162480871e-4,5,11109,
01,037,0.0020406180157419105,21,10291,
01,039,1.8544028822719085e-4,7,37748,
01,041,8.387982308982766e-4,11,13114,
01,043,0.001069068290786575,99,92604,
01,045,0.0018175644636187508,91,50067,
01,047,5.064003376002251e-4,18,35545,
01,049,0.007289187932496376,533,73122,
01,051,0.0011313459721886603,103,91042,
01,053,7.371007371007371e-4,27,36630,
01,055,0.003885395370469057,401,103207,
01,057,1.2607955619996217e-4,2,15863,
01,059,0.002729497395996737,87,31874,
01,061,9.904985509373051e-4,27,27259,
01,063,0,0,7127,
01,065,3.9693040486901297e-4,6,15116,
01,067,2.2049501130036933e-4,4,18141,
01,069,0.0011338075818810233,124,109366,
01,071,0.0013945704722945333,75,53780,
01,073,5.460748799537867e-4,363,664744,
01,075,1.4767776711216126e-4,2,13543,
01,077,7.692149904617342e-4,75,97502,
01,079,2.9791163940775167e-4,10,33567,
01,081,0.001165842414305259,219,187847,
01,083,0.0017991962469102588,214,118942,
01,085,4.217185028993147e-4,4,9485,
01,087,1.6520733520568312e-4,3,18159,
01,089,0.0012330077594453828,522,423355,
01,091,0.001782627484874676,33,18512,
01,093,8.866759881321829e-4,26,29323,
01,095,0.0041994596499471395,429,102156,
01,097,4.6078590674178285e-4,190,412339,
01,099,4.1979325182347696e-4,8,19057,
01,101,9.694812611224734e-4,219,225894,
01,103,0.0016417626344341868,207,126084,
01,105,6.477522995206633e-4,5,7719,
01,107,0.0037821482602118004,70,18508,
01,109,8.75498128245381e-4,29,33124,
01,111,0.001040447392378723,24,23067,
01,113,0.003025307204650135,178,58837,
01,115,0.0010420213150102654,101,96927,
01,117,0.0021528251592370182,508,235969,
01,119,5.169294391315585e-4,6,11607,
01,121,3.686635944700461e-4,30,81375,
01,123,6.388363350450871e-4,26,40699,
01,125,8.913321061970382e-4,215,241212,
01,127,0.001057309224639902,69,65260,
01,129,0.001531495538686909,23,15018,
01,131,3.041054232133806e-4,3,9865,
01,133,0.002136662616783275,51,23869,
02,000,0.01764142390624388,13057,740133,
02,013,0.009911894273127754,36,3632,
02,016,0.04129793510324484,224,5424,
02,020,0.034741022099447516,10061,289600,
02,050,0.0018643417228710862,34,18237,
02,060,0.006787330316742082,6,884,
02,063,0.009236826165960024,61,6604,
02,066,0.004180919802356519,11,2631,
02,068,6.169031462060457e-4,1,1621,
02,070,0.0025850926324859974,12,4642,
02,090,0.007540731535212899,716,94951,
02,100,0,0,2104,
02,105,0.0025951557093425604,6,2312,
02,110,0.013429621183326999,424,31572,
02,122,0.0034770401083922364,213,61259,
02,130,0.0038020033633106676,52,13677,
02,150,0.007744586691955113,98,12654,
02,158,3.775484520513466e-4,3,7946,
02,164,0.006844106463878327,9,1315,
02,170,0.00551809748922313,649,117613,
02,180,0.0018300122000813339,18,9836,
02,185,0.0191315764794148,204,10663,
02,188,0.00336417157275021,24,7134,
02,195,0.009313154831199068,32,3436,
02,198,0.005917159763313609,34,5746,
02,220,0.0033512866546977858,28,8355,
02,230,0.0035746201966041107,4,1119,
02,240,0.010802680158621633,79,7313,
02,275,9.689922480620155e-4,2,2064,
02,282,0.010144927536231883,7,690,
02,290,0.001765051970974701,9,5099,
04,000,0.002957513098782652,22425,7582384,
