statecode,countycode,v136_other_data_1,v136_other_data_1_cilow,v136_other_data_1_cihigh,v136_other_data_2,v136_other_data_2_cilow,v136_other_data_2_cihigh,v136_other_data_3,v136_other_data_3_cilow,v136_other_data_3_cihigh,v136_other_flag_CT
00,000,0.13827988375922576,,,0.03360591561652281,,,0.009742966522527754,,,
01,000,0.11559793124172944,0.11291350008860844,0.11828236239485045,0.0165377751338489,0.015619228273100607,0.01745632199459719,0.008620645061169593,0.007868149447252984,0.009373140675086203,
01,001,0.10676075574778056,0.083327968245898,0.13019354324966312,0.013626176602420438,0.004947942314012218,0.022304410890828658,0.00761990138951143,0.0012047024067830103,0.01403510037223985,
01,003,0.11571627260083449,0.1004798844742142,0.13095266072745476,0.019823788546255508,0.014357725258837727,0.02528985183367329,0.009196035242290748,0.005649804110914725,0.012742266373666771,
01,005,0.09809358752166378,0.07514761745377786,0.12103955758954969,0.037603993344425955,0.017906977091011002,0.05730100959784091,0.005546311702717693,0.0011089966186872005,0.009983626786748186,
01,007,0.09636871508379888,0.05880459791750559,0.13393283225009217,0.013167013167013167,0.0018229064813347889,0.024511119852691547,0.021483021483021482,1.9831183231445657e-4,0.042767731133728504,
01,009,0.08418582824964806,0.06622684454344546,0.10214481195585065,0.02376878612716763,0.014857272792341102,0.03268029946199416,0.010635838150289017,0.00324613066145175,0.018025545639126284,
01,011,0.12305295950155763,0.06895148528782366,0.1771544337152916,0.007246376811594203,0,0.025133760648142246,0.004347826086956522,0,0.014110724127708453,
01,013,0.10646766169154229,0.07518980934319536,0.13774551403988922,0.0061711079943899015,0,0.01261089330011874,0.016830294530154277,0.004325391508717344,0.02933519755159121,
01,015,0.10783934463533963,0.09203065738970416,0.1236480318809751,0.017227877838684416,0.011345999177545855,0.023109756499822977,0.013759928403624567,0.007087593199760734,0.0204322636074884,
01,017,0.09206471494607088,0.06959893973714942,0.11453049015499234,0.053252187143400534,0.027885824332173195,0.07861854995462787,0.007607455306200076,0.0018655415239845867,0.013349369088415565,
01,019,0.08020304568527918,0.057048905810440594,0.10335718556011778,0.007003501750875438,0.0012448651904719728,0.012762138311278903,0.0030015007503751876,0,0.0061718017950294305,
01,021,0.08009563658099222,0.058007899472747974,0.10218337368923647,0.025694034258712344,0.015047130803471061,0.03634093771395363,0.010336680448907265,0,0.023148876177265236,
01,023,0.09883268482490272,0.06602209678650303,0.1316432728633024,0.0057361376673040155,0,0.014845573448437004,0.022944550669216062,0.004232228265316735,0.041656873073115386,
01,025,0.08812459441920831,0.06162147283660222,0.1146277160018144,0.01452991452991453,0.0034102145455505196,0.02564961451427854,0.013431013431013432,0.0035986320382672306,0.023263394823759633,
01,027,0.07906976744186046,0.04968162268409723,0.1084579121996237,0.020966271649954422,0.0038511305967160424,0.038081412703192805,0.010938924339106655,0,0.024183674013073846,
01,029,0.05987488829311886,0.03798098465984957,0.08176879192638814,0.02673611111111111,0.011990413009213451,0.04148180921300877,0.011111111111111112,0.002594133704324283,0.01962808851789794,
01,031,0.10456928838951311,0.08460613649482088,0.12453244028420535,0.020132580407561995,0.012441490052437741,0.02782367076268625,0.006383501104836729,0.0018717477658112191,0.010895254443862239,
01,033,0.10130041877892881,0.07713975765175227,0.12546107990610536,0.014141414141414142,0.0065726987502759395,0.021710129532552344,0.008596604341285192,0.0031719696752627756,0.014021239007307607,
01,035,0.09454976303317536,0.053635813416007004,0.1354637126503437,0.007856341189674524,0,0.022293305029488692,0.010101010101010102,0,0.02105271238778499,
01,037,0.023455233291298866,0.003518490695529411,0.04339197588706832,0.0375,0.010712220190441386,0.0642877798095586,0.01975,6.26300753584292e-4,0.038873699246415705,
01,039,0.09549745824255629,0.07526979795434688,0.1157251185307657,0.01549841493483621,0.006976334089027201,0.024020495780645218,0.012328284607256075,0.002832661029593009,0.021823908184919142,
01,041,0.0975609756097561,0.06653819666081473,0.12858375455869747,0.009917355371900827,0.0010985729946984095,0.018736137749103245,0.011363636363636364,0.0021620063349391625,0.020565266392333567,
01,043,0.08291873963515754,0.0694401193526381,0.09639735991767699,0.019167904903417535,0.012520800061161502,0.025815009745673568,0.011292719167904903,0.00606513469981743,0.016520303635992377,
01,045,0.10271266789570714,0.08348036220287082,0.12194497358854346,0.006958762886597939,0.0026265585956306275,0.01129096717756525,0.007216494845360825,0.0026687089024758784,0.011764280788245773,
01,047,0.14912648497554157,0.11618359005654863,0.1820693798945345,0.013215859030837005,0.006374112729724623,0.020057605331949387,0.01592680447305998,0.001988555357389373,0.029865053588730588,
01,049,0.09541683129197945,0.07633204732713902,0.11450161525681987,0.03425457376411055,0.022013283007878283,0.046495864520342815,0.00759050214091086,0.00239077320588036,0.01279023107594136,
01,051,0.07980558168704924,0.06479736497010218,0.0948137984039963,0.01289420537517477,0.005810464725872157,0.019977946024477382,0.006524778623582414,0.0026528912265502205,0.010396666020614608,
01,053,0.10556668001601922,0.07815534280890533,0.1329780172231331,0.004454685099846391,3.273110624207546e-4,0.008582059137272027,0.0018433179723502304,0,0.004093322901779108,
01,055,0.10550458715596331,0.0898376578282061,0.12117151648372051,0.01740139211136891,0.011873355519574622,0.022929428703163196,0.004382572828048466,0.001968247871135827,0.006796897784961105,
